% Model:              first_sketch_v06__sigmasweep_adaptivemesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 23 2021, 18:52
% Dimension:          2
% Nodes:              325
% Expressions:        12
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=67               r (mm) @ t=67            z (mm) @ t=67            dom @ t=77               r (mm) @ t=77            z (mm) @ t=77            dom @ t=87               r (mm) @ t=87            z (mm) @ t=87            dom @ t=97               r (mm) @ t=97            z (mm) @ t=97
0.10037417319575508       0.5571491737467267       4                        0.10037417319575508      0.5571491737467267       4                        0.1015565667759162       0.5928756675261877       4                        0.10275780606676298      0.6241198376361449       4                        0.1039420255297913       0.6516298749802878
0.09202859048944341       0.5578517716323234       4                        0.09202859048944341      0.5578517716323234       4                        0.09311948522463818      0.5937108453415072       4                        0.09422688191960757      0.6250761239413976       4                        0.09531776460361474      0.6526963743605123
0.07532283953443662       0.5590702766033943       4                        0.07532283953443662      0.5590702766033943       4                        0.07622536138137997      0.5951601512335407       4                        0.07714027953891935      0.6267362733314703       4                        0.0780403786288539       0.6545483536424279
0.08367797254381222       0.5584920263901421       4                        0.08367797254381222      0.5584920263901421       4                        0.08467551827322815      0.5944722350615509       4                        0.08568742190928307      0.625948172106918        4                        0.08668355165729254      0.6536691091789425
0.025123522667104343      0.5612526848628292       4                        0.025123522667104343     0.5612526848628292       4                        0.02543030769222997      0.5977587066253184       4                        0.025740556203894975     0.6297150288236741       4                        0.02604507052305052      0.6578728729962184
0.06696369268274013       0.5595868296415495       4                        0.06696369268274013      0.5595868296415495       4                        0.06776968906042613      0.5957748800937422       4                        0.06858628511164847      0.6274406933459421       4                        0.0693892115144451       0.6553343587901729
0.05860098051010675       0.5600419631238446       4                        0.05860098051010675      0.5600419631238446       4                        0.059309120880054        0.5963166811873516       4                        0.06002621150974607      0.6280616741584389       4                        0.06073095599249053      0.656027354315075
0.05023515785580778       0.560435920830487        4                        0.05023515785580778      0.560435920830487        4                        0.05084428131563627      0.596785782391229        4                        0.0514608349162314       0.6285994282493871       4                        0.05206651906206172      0.656627541974728
0.03349598220794743       0.5610411198111153       4                        0.03349598220794743      0.5610411198111153       4                        0.03390426131391638      0.5975066436057873       4                        0.03431724550858494      0.6294259640956343       4                        0.034722687898276275     0.6575501666590516
0.04186667581075952       0.5607689136640572       4                        0.04186667581075952      0.5607689136640572       4                        0.042375789761494524     0.5971823809555876       4                        0.042890924913245795     0.6290541396734028       4                        0.043396799269125        0.6571350967211824
0.24907692196069678       0.5332591541194573       4                        0.24907692196069678      0.5332591541194573       4                        0.25137469959436565      0.5646897213434975       4                        0.2537855103521172       0.5920138088523862       4                        0.2562287421510661       0.6159483477773929
0.2572101521884528        0.5312641844686427       4                        0.2572101521884528       0.5312641844686427       4                        0.25952733534767386      0.5623541380057752       4                        0.2619665632600559       0.5893678672720161       4                        0.26444498531078864      0.6130188484111196
0.26532432732585703       0.5291932654779289       4                        0.26532432732585703      0.5291932654779289       4                        0.26765493754740527      0.5599325097108023       4                        0.27011708691776215      0.5866267701696468       4                        0.27262568091041656      0.6099858271133037
