% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              366
% Expressions:        24
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=157              r (mm) @ t=157           z (mm) @ t=157           dom @ t=167              r (mm) @ t=167           z (mm) @ t=167           dom @ t=177              r (mm) @ t=177           z (mm) @ t=177           dom @ t=187              r (mm) @ t=187           z (mm) @ t=187           dom @ t=197              r (mm) @ t=197           z (mm) @ t=197           dom @ t=207              r (mm) @ t=207           z (mm) @ t=207           dom @ t=217              r (mm) @ t=217           z (mm) @ t=217           dom @ t=227              r (mm) @ t=227           z (mm) @ t=227
0.3133691972025249        4.5882759919775064E-4    6                        0.3133691972025249       4.5882759919775064E-4    6                        0.30263704630675164      5.798804897498844E-4     6                        0.29217403497889194      6.557294234809265E-4     6                        0.2823484462820828       7.171377648563545E-4     6                        0.2731772315535049       7.714279862637264E-4     6                        0.2646206810080228       8.211889322746802E-4     6                        0.2566290271243531       8.675836660438174E-4     6                        0.2491534354557589       9.11241529909024E-4
0.31463663125472335       5.50708045277361E-4      6                        0.31463663125472335      5.50708045277361E-4      6                        0.3039604630076595       6.858914196643038E-4     6                        0.2935554791640431       7.718798756158912E-4     6                        0.28378031674330584      8.41607635192623E-4      6                        0.27465413877465034      9.032162657512918E-4     6                        0.26613872223544527      9.596375771983509E-4     6                        0.25818516182052265      0.0010122030700521734    6                        0.25074516622032084      0.0010616382627410812
0.3160254888560055        6.608936640133485E-4     6                        0.3160254888560055       6.608936640133485E-4     6                        0.3054045659088725       8.115761061323929E-4     6                        0.295059077493893        9.088940184020874E-4     6                        0.2853363277218765       9.87967292737822E-4      6                        0.2762571658027163       0.0010578017420543712    6                        0.26778474174080014      0.0011217026497770599    6                        0.25987099445034223      0.001181188778311291     6                        0.25246818099088414      0.0012370940757127516
0.31755229120595563       7.934605287892318E-4     6                        0.31755229120595563      7.934605287892318E-4     6                        0.30698603059276386      9.611638188066066E-4     6                        0.2967016361639307       0.0010711541916654012    6                        0.28703348002626516      0.001160742277511064     6                        0.2780035353165772       0.0012398407797541056    6                        0.26957618733758687      0.0013121596456079146    6                        0.26170419124902883      0.0013794250702970903    6                        0.25434035407703975      0.001442592977213399
0.3192380551591572        9.537072725178166E-4     6                        0.3192380551591572       9.537072725178166E-4     6                        0.3087260903050619       0.0011401459243730056    6                        0.2985045863042095       0.0012643411297216113    6                        0.28889346268776367      0.0013657903971545833    6                        0.2799152208536604       0.0014553534625932466    6                        0.27153531894173843      0.0015371767786332557    6                        0.26370728935258286      0.0016132156023824968    6                        0.2563844864679277       0.0016845628534702085
0.32109602045768554       0.0011471511224121404    6                        0.32109602045768554      0.0011471511224121404    6                        0.3106378939264596       0.0013541330127185183    6                        0.30048089556670154      0.0014941850170198177    6                        0.29092915295120225      0.0016089642634083876    6                        0.2820050714032224       0.0017103082411454899    6                        0.27367498824649666      0.0018028290339033742    6                        0.2658931570014714       0.0018887323582571218    6                        0.2586134681635637       0.001969263727031255
0.3231434161072824        0.0013807005065315104    6                        0.3231434161072824       0.0013807005065315104    6                        0.3127387163190566       0.0016101569656446213    6                        0.30264776530962356      0.0017678624803720777    6                        0.2931577421476483       0.0018975866283656739    6                        0.28429032053468156      0.0020121662991242537    6                        0.2760124976596439       0.002116705347784551     6                        0.2682791761594816       0.0022136809388729212    6                        0.26104476296939694      0.002304507318331995
0.3254008748745824        0.0016629230645548042    6                        0.3254008748745824       0.0016629230645548042    6                        0.31504932710717193      0.0019169301027875077    6                        0.30502595594222404      0.0020942495912107035    6                        0.29560002256374607      0.0022406983224283116    6                        0.2867918373164489       0.0023701250392538574    6                        0.2785688174982667       0.0024881480412995475    6                        0.27088642808512736      0.002597536199097912     6                        0.2636995643474485       0.0026998890460180323
0.3278934281092988        0.0020045721466967893    6                        0.3278934281092988       0.0020045721466967893    6                        0.3175949924684084       0.0022853794776437134    6                        0.30764080339562094      0.0024844628328406695    6                        0.298281417958868        0.0026496048576187736    6                        0.28953516840633453      0.0027956696099271736    6                        0.28136963777549034      0.002928808740265273     6                        0.27374075356375804      0.003052102105801103     6                        0.266603863208121        0.0031673514034310625
0.3306379458139755        0.0024171451873340145    6                        0.3306379458139755       0.0024171451873340145    6                        0.32039270771477724      0.002727075400703389     6                        0.3105091404456469       0.002950177704421009     6                        0.3012185914073686       0.0031360984184490514    6                        0.2925368475033516       0.00330070803403801      6                        0.28443139769083936      0.0034507042878030845    6                        0.2768585206873811       0.003589494695202046     6                        0.2697739709901055       0.003719099238001023
0.33366060403669984       0.00291558891042276      6                        0.33366060403669984      0.00291558891042276      6                        0.3234688342037183       0.0032570873190322933    6                        0.313657344996109        0.0035066169785606515    6                        0.3044379350618995       0.003715564840836639     6                        0.29582330751147196      0.0039007853624336867    6                        0.28778059102477593      0.00406952841660403      6                        0.2802662942433268       0.004225543089311365     6                        0.2732365261923416       0.00437108308027361
