% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              399
% Expressions:        27
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=287              r (mm) @ t=287           z (mm) @ t=287           dom @ t=297              r (mm) @ t=297           z (mm) @ t=297           dom @ t=307              r (mm) @ t=307           z (mm) @ t=307           dom @ t=317              r (mm) @ t=317           z (mm) @ t=317           dom @ t=327              r (mm) @ t=327           z (mm) @ t=327           dom @ t=337              r (mm) @ t=337           z (mm) @ t=337           dom @ t=347              r (mm) @ t=347           z (mm) @ t=347           dom @ t=357              r (mm) @ t=357           z (mm) @ t=357           dom @ t=367              r (mm) @ t=367           z (mm) @ t=367
0.12945480489058273       0                        2                        0.12945480489058273      0                        2                        0.12721325110974005      0                        2                        0.12481897807165968      0                        2                        0.12235074484277496      0                        2                        0.11986954477960524      0                        2                        0.11741663871382403      0                        2                        0.11501579712951579      0                        2                        0.11267921099865719      0                        2                        0.11041240247980859      0
0.13661405795708517       0                        2                        0.13661405795708517      0                        2                        0.13420506119216646      0                        2                        0.13163035834474265      0                        2                        0.12898063781733507      0                        2                        0.1263233113275464       0                        2                        0.12370179189850644      0                        2                        0.12114008393025266      0                        2                        0.11865003711194003      0                        2                        0.11623673580694074      0
0.14309022905792218       0                        2                        0.14309022905792218      0                        2                        0.14051889215190505      0                        2                        0.137769451648649        0                        2                        0.13494561961980478      0                        2                        0.13212095830101547      0                        2                        0.12934041049972955      0                        2                        0.12662777884426005      0                        2                        0.12399433290813958      0                        2                        0.12144459228412519      0
0.14894762816828488       0                        2                        0.14894762816828488      0                        2                        0.14621815142484323      0                        2                        0.14329895365501139      0                        2                        0.1403078783532949       0                        2                        0.13732417085353274      0                        2                        0.13439360813359774      0                        2                        0.13153936659907922      0                        2                        0.12877192082700825      0                        2                        0.12609511527006179      0
0.15424567337770523       0                        2                        0.15424567337770523      0                        2                        0.15136134280176927      0                        2                        0.14827670778801302      0                        2                        0.14512481241989947      0                        2                        0.14198988424520054      0                        2                        0.13891778087759193      0                        2                        0.13593064979898853      0                        2                        0.1330379811280827       0                        2                        0.130242848888193        0
0.15903714166410665       0                        2                        0.15903714166410665      0                        2                        0.15600034768273335      0                        2                        0.1527540372397696       0                        2                        0.14944740557720487      0                        2                        0.14616869767798132      0                        2                        0.14296306052044133      0                        2                        0.1398512408397086       0                        2                        0.13684158028241492      0                        2                        0.13393630028565792      0
0.16337022951090022       0                        2                        0.16337022951090022      0                        2                        0.16018241638407205      0                        2                        0.1567776862808796       0                        2                        0.15332210951423814      0                        2                        0.149906700765233        0                        2                        0.14657509200630434      0                        2                        0.14334629481825112      0                        2                        0.14022736193115007      0                        2                        0.13721959053050475      0
0.16728872556558183       0                        2                        0.16728872556558183      0                        2                        0.16395031204196528      0                        2                        0.1603899657900084       0                        2                        0.15679098044063744      0                        2                        0.1532456046390459       0                        2                        0.14979516402937176      0                        2                        0.1464566410981977       0                        2                        0.14323567930715594      0                        2                        0.14013258750961918      0
0.17083141776596236       0                        2                        0.17083141776596236      0                        2                        0.16734171555131075      0                        2                        0.16362819650845672      0                        2                        0.1598911444343433       0                        2                        0.15622223186628714      0                        2                        0.15265972532932473      0                        2                        0.14921832440500266      0                        2                        0.14590215870237314      0                        2                        0.14271048964515504      0
0.17403417460246648       0                        2                        0.17403417460246648      0                        2                        0.17039118496331207      0                        2                        0.1665265973349896       0                        2                        0.1626566071790366       0                        2                        0.15887026307863422      0                        2                        0.155202077592824        0                        2                        0.1516642482780698       0                        2                        0.14825929630751913      0                        2                        0.1449853788109102       0
0.1769290501242276        0                        2                        0.1769290501242276       0                        2                        0.1731292265343555       0                        2                        0.16911539771052767      0                        2                        0.1651173939971636       0                        2                        0.16121941325242267      0                        2                        0.15745158821260902      0                        2                        0.1538234211763654       0                        2                        0.15033573468873376      0                        2                        0.14698552503659365      0
0.17954447434963614       0                        2                        0.17954447434963614      0                        2                        0.17558238467223009      0                        2                        0.1714209287017719       0                        2                        0.16729963569572742      0                        2                        0.16329552619827883      0                        2                        0.1594337950614946       0                        2                        0.15572107006163222      0                        2                        0.15215638410146273      0                        2                        0.14873551520351194      0
0.1819062614635091        0                        2                        0.1819062614635091       0                        2                        0.17777402709011603      0                        2                        0.1734663460346218       0                        2                        0.16922624753931653      0                        2                        0.16512123175251428      0                        2                        0.16117104637169088      0                        2                        0.15737926401371852      0                        2                        0.1537430309249723       0                        2                        0.1502568474779836       0
0.18403783354523165       0                        2                        0.18403783354523165      0                        2                        0.1797242421019022       0                        2                        0.17527147524589717      0                        2                        0.17091676730142213      0                        2                        0.1667157956188776       0                        2                        0.16268236012951073      0                        2                        0.15881677851254244      0                        2                        0.1551142025334022       0                        2                        0.15156779261467243      0
0.18595826004619356       0                        2                        0.18595826004619356      0                        2                        0.18144752105878542      0                        2                        0.17685055904957186      0                        2                        0.17238520897004103      0                        2                        0.16809305771415184      0                        2                        0.1639814129264979       0                        2                        0.16004710744971143      0                        2                        0.15628318211323586      0                        2                        0.15268139672371514      0
0.18768279428181658       0                        2                        0.18768279428181658      0                        2                        0.1829520915282779       0                        2                        0.17821119174035693      0                        2                        0.17363870506371293      0                        2                        0.16925976045462315      0                        2                        0.16507454788185272      0                        2                        0.16107617095617424      0                        2                        0.15725545481407413      0                        2                        0.15360271548624727      0
0.1892173340899213        0                        2                        0.1892173340899213       0                        2                        0.18422999559953354      0                        2                        0.17934251166874252      0                        2                        0.17466464213179766      0                        2                        0.1702021344501777       0                        2                        0.16594724580810669      0                        2                        0.16188904063832846      0                        2                        0.1580159864414145       0                        2                        0.15431687854073553      0
0.1904816723997298        0                        2                        0.1904816723997298       0                        2                        0.18517054563838117      0                        2                        0.1801385179393386       0                        2                        0.1753645075605999       0                        2                        0.17082957525156584      0                        2                        0.166516616730098        0                        2                        0.16241009774782392      0                        2                        0.1584958562798551       0                        2                        0.1547610198434741       0
0                         1.2079616561860271       3                        0                        1.2079616561860271       3                        0                        1.2084318695531135       3                        0                        1.2088799335381815       3                        0                        1.2093096960930967       3                        0                        1.2097235254205587       3                        0                        1.210122756684854        3                        0                        1.2105080576301537       3                        0                        1.2108797126229638       3                        0                        1.2112378441467242
0                         1.25                     3                        0                        1.25                     3                        0                        1.25                     3                        0                        1.25                     3                        0                        1.25                     3                        0                        1.25                     3                        0                        1.25                     3                        0                        1.25                     3                        0                        1.25                     3                        0                        1.25
